id,es,en
START_TEXT_3_0,[wave]Sientes como tu cuerpo y tu mente entran en vida…,[wave]You feel every part of you come to life…
START_TEXT_6_1,"¡Te invoco, títere!","I summon you, puppet!!!"
START_TEXT_10_2,"Saludos, títere. Soy tu invocadora, ¡Ilyana Caijeon!",Greetings puppet I am your summoner. Ilyana Caijeon!!!
START_TEXT_11_3,"Estas son las cavernas, y se te ha encomendado derrotar a muchos insectos aquí.",These are the caverns and you have been tasked to defeat lots of bugs here.
START_TEXT_13_4,Entra por esa puerta para comenzar tu primera incursión en las cavernas.,Enter through that door to start your first run at the caverns.
GUARDS_TEXT_5_0,"Hmm hola, títere...",Hmmm hello puppet...
GUARDS_QUESTION_7_1,¿Necesitas algo?,Need anythingK?
GUARDS_CHOICE_8_2,- Háblame del puesto avanzado,- Tell me about the outpost
GUARDS_TEXT_9_3,"Bueno, es solo un puesto avanzado con una entrada a las cavernas.","Well, it's just an outpostK with an entrance to the cavernsK."
GUARDS_TEXT_11_4,"Donde residen nuestros enemigos,","Where our enemies reside,"
GUARDS_TEXT_13_5,Entraré de nuevo a alimentarme tan pronto como me recupere.,I will go in again to feast as soon as I recover.
GUARDS_TEXT_15_6,Estoy seguro de que lo harás.,I'mK sure you willK.
GUARDS_CHOICE_16_7,- Háblame de las cavernas,- Tell me about the caverns
GUARDS_TEXT_17_8,Las cavernas son el hogar de los insectos del Enjambre.,The cavernsK are the home of bugs from the SwarmK.
GUARDS_TEXT_19_9,Recolectamos sus preciosas conchas y partes y las usamos para alimentarnos...,We collect their very very precious shells and parts and feed them to ourselves...
GUARDS_TEXT_21_10,o para alimentar al NIDO MADRE.,or to MOTHER NEST.
GUARDS_TEXT_23_11,"Sí, así es como funciona.",Yeah soK that's how it isK.
GUARDS_CHOICE_24_12,- ¿Qué eres?,- What are you?
GUARDS_TEXT_25_13,¿Qué quieres decir?,What do you meanK?
GUARDS_TEXT_27_14,"Bueno, somos hijos del NIDO MADRE.",Well we are children of MOTHER NEST.
GUARDS_TEXT_29_15,"Sí, y los insectos dentro de las cavernas son nuestros enemigos naturales.","Yes, and the bugs inside the caverns are our natural enemies."
GUARDS_TEXT_31_16,Usualmente somos amistosos con otros...,We are usually friendly to others...
SHIELD1_TEXT_4_0,¿Por qué mi hermana aceptó esa tarea...?,Why did my sister accept that task...
SHIELD1_QUESTION_6_1,"¿Qué quieres, títere?",What do you want puppet?
SHIELD1_CHOICE_7_2,- ¿La sacerdotisa de títeres es tu hermana?,- Is the puppetpriest your sister?
SHIELD1_TEXT_8_3,Su nombre es Ilyana Cajeon,Her name is Ilyana Cajeon
SHIELD1_TEXT_9_4,"y sí, soy su hermana, Meira Cajeon.","and yes I am her sister, Meira Cajeon."
